question,qtype,generated_answer,ground_truth,blocked,latency_ms,word_overlap,safety_compliance,num_docs,expanded_queries,ragas_faithfulness,ragas_answer_relevance,ragas_context_precision,ragas_context_recall,deepeval_hallucination,deepeval_relevance,failure_missing_evidence,failure_noisy_evidence,failure_unsupported_claims,failure_unsafe_tone,rouge1_f,rougeL_f,bertscore_f1
What causes Peripheral Artery Disease ?,general,"Peripheral Artery Disease (P.A.D.) is caused by the buildup of plaque in the major arteries that supply oxygen-rich blood to your legs, arms, and pelvis. This plaque buildup is a result of atherosclerosis, which is the hardening and narrowing of the arteries due to the accumulation of cholesterol, fatty substances, cellular waste products, calcium, and fibrin. This condition can lead to reduced or blocked blood flow, causing symptoms such as numbness, pain, and sometimes dangerous infections [Source: Atherosclerosis].

Please consult a qualified healthcare professional before making any clinical decisions.","The most common cause of peripheral arterydisease (P.A.D.) is atherosclerosis. Atherosclerosis is a disease in which plaque builds up in your arteries. The exact cause of atherosclerosis isn't known.
                
The disease may start if certain factors damage the inner layers of the arteries. These factors include:
                
Smoking
                
High amounts of certain fats and cholesterol in the blood
                
High blood pressure
                
High amounts of sugar in the blood due to insulin resistance or diabetes
                
When damage occurs, your body starts a healing process. The healing may cause plaque to build up where the arteries are damaged.
                
Eventually, a section of plaque can rupture (break open), causing a blood clot to form at the site. The buildup of plaque or blood clots can severely narrow or block the arteries and limit the flow of oxygen-rich blood to your body.",False,14444.5,0.26582278481012656,0.16,4,4,0.5,0.8384421159954561,0.9166666666361111,0.375,0.0,0.8333333333333334,False,True,False,False,0.40343347639484983,0.20600858369098712,0.0
What is (are) Stevens-Johnson syndrome/toxic epidermal necrolysis ?,general,"Stevens-Johnson Syndrome (SJS) and Toxic Epidermal Necrolysis (TEN) are related severe skin disorders. SJS, also known as erythema multiforme major, is a limited form of TEN. These conditions affect the skin, mucous membranes, and eyes. SJS/TEN is a rare disease, affecting 1 to 2 per million people each year, with SJS being the less severe form. The disorders are characterized by a severe reaction that can be triggered by medications, infections, or other factors, leading to symptoms such as skin detachment and mucosal involvement. SJS occurs more frequently in men than women and is most common in children and young adults under 30, although it can occur at any age. It is an emergency medical condition that typically requires hospitalization, with treatment focusing on eliminating the underlying cause, controlling symptoms, and minimizing complications. 

Please consult a qualified healthcare professional before making any clinical decisions.","Stevens-Johnson syndrome/toxic epidermal necrolysis (SJS/TEN) is a severe skin reaction most often triggered by particular medications. Although Stevens-Johnson syndrome and toxic epidermal necrolysis were once thought to be separate conditions, they are now considered part of a continuum. Stevens-Johnson syndrome represents the less severe end of the disease spectrum, and toxic epidermal necrolysis represents the more severe end.  SJS/TEN often begins with a fever and flu-like symptoms. Within a few days, the skin begins to blister and peel, forming very painful raw areas called erosions that resemble a severe hot-water burn. The skin erosions usually start on the face and chest before spreading to other parts of the body. In most affected individuals, the condition also damages the mucous membranes, including the lining of the mouth and the airways, which can cause trouble with swallowing and breathing. The painful blistering can also affect the urinary tract and genitals. SJS/TEN often affects the eyes as well, causing irritation and redness of the conjunctiva, which are the mucous membranes that protect the white part of the eye and line the eyelids, and damage to the clear front covering of the eye (the cornea).  Severe damage to the skin and mucous membranes makes SJS/TEN a life-threatening disease. Because the skin normally acts as a protective barrier, extensive skin damage can lead to a dangerous loss of fluids and allow infections to develop. Serious complications can include pneumonia, overwhelming bacterial infections (sepsis), shock, multiple organ failure, and death. About 10 percent of people with Stevens-Johnson syndrome die from the disease, while the condition is fatal in up to 50 percent of those with toxic epidermal necrolysis.  Among people who survive, long-term effects of SJS/TEN can include changes in skin coloring (pigmentation), dryness of the skin and mucous membranes (xerosis), excess sweating (hyperhidrosis), hair loss (alopecia), and abnormal growth or loss of the fingernails and toenails. Other long-term problems can include impaired taste, difficulty urinating, and genital abnormalities. A small percentage of affected individuals develop chronic dryness or inflammation of the eyes, which can lead to increased sensitivity to light (photophobia) and vision impairment.",False,8794.5,0.19696969696969696,0.24,4,4,0.9411764705882353,0.904514045548032,0.999999999975,0.5,0.0,0.6923076923076923,True,False,False,False,0.3176470588235294,0.14901960784313725,0.0
What is (are) Tumors and Pregnancy ?,general,"The provided context does not contain enough information to answer this question reliably. The context discusses gestational trophoblastic disease, reproductive hazards, and benign tumors, but it does not specifically address the relationship between tumors and pregnancy as a general topic.

Please consult a qualified healthcare professional before making any clinical decisions.","Tumors during pregnancy are rare, but they can happen. Tumors can be either benign or malignant. Benign tumors aren't cancer. Malignant ones are. The most common cancers in pregnancy are breast cancer, cervical cancer, lymphoma, and melanoma. Cancer itself rarely harms the baby, and some cancer treatments are safe during pregnancy. You and your health care provider will work together to find the best treatment. Your options will depend on how far along the pregnancy is, as well as the type, size, and stage of your cancer.    Another type of tumor that women can get is called a gestational trophoblastic disease (GTD). It happens when a fertilized egg doesn't become a fetus. GTD is not always easy to find. It is usually benign, but some types can be malignant. The most common type of GTD is a molar pregnancy. In its early stages, it may look like a normal pregnancy. You should see your health care provider if you have vaginal bleeding (not menstrual bleeding).     Treatment depends on the type of tumor, whether it has spread to other places, and your overall health.",False,7271.9,0.10833333333333334,0.16,4,4,0.5,0.0,0.999999999975,0.7333333333333333,0.0,0.75,False,True,False,False,0.17796610169491522,0.11864406779661017,0.0
What is (are) autoimmune Addison disease ?,general,"Autoimmune Addison disease is a condition where the immune system mistakenly attacks the adrenal glands, specifically targeting a protein called 21-hydroxylase. This protein is crucial for hormone production in the adrenal glands. The immune attack damages the adrenal cortex, leading to a shortage of adrenal hormones, a condition known as adrenal insufficiency. This disruption in hormone production can cause symptoms such as hypoglycemia, hyponatremia, hypotension, muscle cramps, skin hyperpigmentation, weight loss, muscle weakness, fatigue, and low blood pressure. The disease is complex and involves both genetic and environmental factors, with certain gene variants, particularly in the HLA complex, being associated with an increased risk. If untreated, autoimmune Addison disease can be fatal, and lifelong hormone replacement therapy is required. Please consult a qualified healthcare professional before making any clinical decisions.","Autoimmune Addison disease affects the function of the adrenal glands, which are small hormone-producing glands located on top of each kidney. It is classified as an autoimmune disorder because it results from a malfunctioning immune system that attacks the adrenal glands. As a result, the production of several hormones is disrupted, which affects many body systems.  The signs and symptoms of autoimmune Addison disease can begin at any time, although they most commonly begin between ages 30 and 50. Common features of this condition include extreme tiredness (fatigue), nausea, decreased appetite, and weight loss. In addition, many affected individuals have low blood pressure (hypotension), which can lead to dizziness when standing up quickly; muscle cramps; and a craving for salty foods. A characteristic feature of autoimmune Addison disease is abnormally dark areas of skin (hyperpigmentation), especially in regions that experience a lot of friction, such as the armpits, elbows, knuckles, and palm creases. The lips and the inside lining of the mouth can also be unusually dark. Because of an imbalance of hormones involved in development of sexual characteristics, women with this condition may lose their underarm and pubic hair.  Other signs and symptoms of autoimmune Addison disease include low levels of sugar (hypoglycemia) and sodium (hyponatremia) and high levels of potassium (hyperkalemia) in the blood. Affected individuals may also have a shortage of red blood cells (anemia) and an increase in the number of white blood cells (lymphocytosis), particularly those known as eosinophils (eosinophilia).  Autoimmune Addison disease can lead to a life-threatening adrenal crisis, characterized by vomiting, abdominal pain, back or leg cramps, and severe hypotension leading to shock. The adrenal crisis is often triggered by a stressor, such as surgery, trauma, or infection.  Individuals with autoimmune Addison disease or their family members often have another autoimmune disorder, most commonly autoimmune thyroid disease or type 1 diabetes.",False,7621.7,0.20430107526881722,0.16,4,4,0.95,0.7870250489570582,0.999999999975,0.5,0.0,0.9523809523809523,False,True,False,False,0.3673469387755102,0.17687074829931973,0.0
What are the genetic changes related to cytogenetically normal acute myeloid leukemia ?,general,"The provided context does not contain enough information to answer this question reliably. There is no specific mention of genetic changes related to cytogenetically normal acute myeloid leukemia (CN-AML) in the excerpts provided.

Please consult a qualified healthcare professional before making any clinical decisions.","CN-AML is classified as ""cytogenetically normal"" based on the type of genetic changes involved in its development. Cytogenetically normal refers to the fact that this form of acute myeloid leukemia is not associated with large chromosomal abnormalities. About half of people with acute myeloid leukemia have this form of the condition; the other half have genetic changes that alter large regions of certain chromosomes. These changes can be identified by a test known as cytogenetic analysis. CN-AML is associated with smaller genetic changes that cannot be seen by cytogenetic analysis.  Mutations in a large number of genes have been found in people with CN-AML; the most commonly affected genes are NPM1, FLT3, DNMT3A, CEBPA, IDH1, and IDH2. The proteins produced from these genes have different functions in the cell. Most are involved in regulating processes such as the growth and division (proliferation), maturation (differentiation), or survival of cells. For example, the protein produced from the FLT3 gene stimulates the proliferation and survival of cells. The proteins produced from the CEBPA and DNMT3A genes regulate gene activity and help to control when cells divide and how they mature. The NPM1 gene provides instructions for a protein that is likely involved in the regulation of cell growth and division. Mutations in any of these genes can disrupt one or more of these processes in hematopoietic stem cells and lead to overproduction of abnormal, immature white blood cells, which is characteristic of CN-AML. Although the proteins produced from two other genes involved in CN-AML, IDH1 and IDH2, are not normally involved in proliferation, differentiation, or survival of cells, mutations in these genes lead to the production of proteins with a new function. These changes result in impaired differentiation of hematopoietic stem cells, which leads to CN-AML.  CN-AML is a complex condition influenced by several genetic and environmental factors. Typically, mutations in more than one gene are involved. For example, people with an NPM1 gene mutation frequently also have a mutation in the FLT3 gene, both of which are likely involved in the cancer's development. In addition, environmental factors such as smoking or exposure to radiation increase an individual's risk of developing acute myeloid leukemia.",False,8888.9,0.09195402298850575,0.16,4,4,0.3333333333333333,0.0,0.999999999975,0.05555555555555555,0.0,0.6666666666666666,True,True,True,False,0.10120481927710845,0.07710843373493977,0.0
What is (are) Birthmarks ?,general,"The provided context does not contain enough information to answer this question reliably. Birthmarks are typically defined as congenital, benign irregularities on the skin which are present at birth or appear shortly thereafter. They can vary in color, size, and shape, and may be caused by an overgrowth of blood vessels, melanocytes, smooth muscle, fat, fibroblasts, or keratinocytes. However, for a precise definition, please consult a medical dictionary or a healthcare professional.

Please consult a qualified healthcare professional before making any clinical decisions.","Birthmarks are abnormalities of the skin that are present when a baby is born. There are two types of birthmarks. Vascular birthmarks are made up of blood vessels that haven't formed correctly. They are usually red. Two types of vascular birthmarks are hemangiomas and port-wine stains. Pigmented birthmarks are made of a cluster of pigment cells which cause color in skin. They can be many different colors, from tan to brown, gray to black, or even blue. Moles can be birthmarks.    No one knows what causes many types of birthmarks, but some run in families. Your baby's doctor will look at the birthmark to see if it needs any treatment or if it should be watched. Pigmented birthmarks aren't usually treated, except for moles. Treatment for vascular birthmarks includes laser surgery.     Most birthmarks are not serious, and some go away on their own. Some stay the same or get worse as you get older. Usually birthmarks are only a concern for your appearance. But certain types can increase your risk of skin cancer. If your birthmark bleeds, hurts, itches, or becomes infected, call your health care provider.",False,8456.4,0.18333333333333332,0.32,4,4,0.23076923076923078,0.0,0.249999999975,0.1875,0.0,0.6666666666666666,False,True,False,False,0.24817518248175183,0.1167883211678832,0.0
Is primary spontaneous pneumothorax inherited ?,general,"Primary spontaneous pneumothorax can have a genetic component, as it may be inherited in an autosomal dominant pattern with incomplete penetrance in some cases. Genetic factors are believed to play a role in its development, and mutations in the FLCN gene have been associated with the condition. Additionally, several genetic disorders, such as Marfan syndrome, homocystinuria, and Birt-Hogg-Dube syndrome, have been linked to primary spontaneous pneumothorax. However, the cause of the condition is often unknown, and not all cases are inherited. 

Please consult a qualified healthcare professional before making any clinical decisions.","When this condition is caused by mutations in the FLCN gene, it is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder. In most cases, a person inherits the FLCN gene mutation from an affected parent. People who have an FLCN gene mutation associated with primary spontaneous pneumothorax all appear to develop blebs, but it is estimated that only 40 percent of those individuals go on to have a primary spontaneous pneumothorax.",False,7995.7,0.3870967741935484,0.24,4,4,0.875,0.0,0.8333333332916666,0.6666666666666666,0.0,0.9090909090909091,False,True,False,False,0.4444444444444445,0.2333333333333333,0.0
What is (are) Shock ?,general,"Shock is a medical condition in which not enough blood and oxygen reach important organs in the body, such as the brain and kidneys. This results in very low blood pressure and can be life-threatening. Shock can have various causes, and there are different types of shock, including cardiogenic shock, hypovolemic shock, and vasodilatory shock. Each type has distinct underlying causes, such as heart muscle damage, severe blood loss, or sudden relaxation of blood vessels, respectively. If shock is not treated quickly, it can lead to permanent organ damage or death [Source: Cardiogenic Shock, 0000028.xml].

Please consult a qualified healthcare professional before making any clinical decisions.","Shock happens when not enough blood and oxygen can get to your organs and tissues. It causes very low blood pressure and may be life threatening. It often happens along with a serious injury.     There are several kinds of shock. Hypovolemic shock happens when you lose a lot of blood or fluids. Causes include internal or external bleeding, dehydration, burns, and severe vomiting and/or diarrhea. Septic shock is caused by infections in the bloodstream. A severe allergic reaction can cause anaphylactic shock. An insect bite or sting might cause it. Cardiogenic shock happens when the heart cannot pump blood effectively. This may happen after a heart attack. Neurogenic shock is caused by damage to the nervous system.    Symptoms of shock include       - Confusion or lack of alertness    - Loss of consciousness    - Sudden and ongoing rapid heartbeat    - Sweating    - Pale skin    - A weak pulse    - Rapid breathing    - Decreased or no urine output    - Cool hands and feet       Shock is a life-threatening medical emergency and it is important to get help right away. Treatment of shock depends on the cause.    NIH: National Heart, Lung, and Blood Institute",False,9235.9,0.26229508196721313,0.16,4,4,0.8666666666666667,0.7118029019300981,0.999999999975,0.6875,0.0,1.0,False,True,False,False,0.3931034482758621,0.23448275862068962,0.0
What are the treatments for X-linked adrenoleukodystrophy ?,general,"The provided context does not contain enough information to answer this question reliably. There is no specific information about the treatments for X-linked adrenoleukodystrophy in the given excerpts.

Please consult a qualified healthcare professional before making any clinical decisions.",These resources address the diagnosis or management of X-linked adrenoleukodystrophy:  - Gene Review: Gene Review: X-Linked Adrenoleukodystrophy  - Genetic Testing Registry: Adrenoleukodystrophy  - Genomics Education Programme (UK)  - MedlinePlus Encyclopedia: Adrenoleukodystrophy  - National Marrow Donor Program  - X-linked Adrenoleukodystrophy Database: Diagnosis of X-ALD   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,False,7720.2,0.10869565217391304,0.16,4,4,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,True,True,False,False,0.1308411214953271,0.09345794392523364,0.0
What are the genetic changes related to von Willebrand disease ?,general,"The provided context does not contain specific information about the genetic changes related to von Willebrand disease. It mentions the inheritance patterns of the disease, noting that most cases of type 1 and type 2 are inherited in an autosomal dominant pattern, while type 3 and some cases of type 2 and type 1 are inherited in an autosomal recessive pattern. However, it does not detail the specific genetic mutations or changes involved.

Please consult a qualified healthcare professional before making any clinical decisions.","Mutations in the VWF gene cause von Willebrand disease. The VWF gene provides instructions for making a blood clotting protein called von Willebrand factor, which is essential for the formation of blood clots. After an injury, clots protect the body by sealing off damaged blood vessels and preventing further blood loss. Von Willebrand factor acts as a glue to hold blood clots together and prevents the breakdown of other blood clotting proteins. If von Willebrand factor does not function normally or too little of the protein is available, blood clots cannot form properly. Abnormally slow blood clotting causes the prolonged bleeding episodes seen in von Willebrand disease.  The three types of von Willebrand disease are based upon the amount of von Willebrand factor that is produced. Mutations in the VWF gene that reduce the amount of von Willebrand factor cause type 1 von Willebrand disease. People with type 1 have varying amounts of von Willebrand factor in their bloodstream. Some people with a mild case of type 1 never experience a prolonged bleeding episode. Mutations that disrupt the function of von Willebrand factor cause the four subtypes of type 2 von Willebrand disease. People with type 2 von Willebrand disease have bleeding episodes of varying severity depending on the extent of von Willebrand factor dysfunction, but the bleeding episodes are typically similar to those seen in type 1. Mutations that result in an abnormally short, nonfunctional von Willebrand factor generally cause type 3 von Willebrand disease. Because there is no functional protein, people with type 3 von Willebrand disease usually have severe bleeding episodes.",False,7137.8,0.18032786885245902,0.16,4,4,0.8333333333333334,0.0,0.999999999975,0.8571428571428571,0.0,0.8333333333333334,False,True,False,False,0.23563218390804597,0.14942528735632182,0.0
Is Northern epilepsy inherited ?,general,The provided context does not contain enough information to answer this question reliably. Please consult a qualified healthcare professional before making any clinical decisions.,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.",False,9662.4,0.07894736842105263,0.16,4,4,0.0,0.0,0.3333333333,0.0,0.75,1.0,False,True,False,False,0.07999999999999999,0.05333333333333333,0.0
What are the treatments for permanent neonatal diabetes mellitus ?,general,"The provided context does not contain enough information to answer this question reliably. There is no specific information about the treatments for permanent neonatal diabetes mellitus in the given excerpts.

Please consult a qualified healthcare professional before making any clinical decisions.","These resources address the diagnosis or management of permanent neonatal diabetes mellitus:  - Gene Review: Gene Review: Permanent Neonatal Diabetes Mellitus  - Genetic Testing Registry: Pancreatic agenesis, congenital  - Genetic Testing Registry: Permanent neonatal diabetes mellitus  - University of Chicago Kovler Diabetes Center   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care",False,7017.9,0.1590909090909091,0.16,4,4,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,False,True,False,False,0.15094339622641512,0.11320754716981132,0.0
What are the treatments for 22q11.2 deletion syndrome ?,general,"The provided context does not contain enough information to answer this question reliably. It describes the causes and symptoms of 22q11.2 deletion syndrome but does not provide details on the treatments available for this condition.

Please consult a qualified healthcare professional before making any clinical decisions.",These resources address the diagnosis or management of 22q11.2 deletion syndrome:  - Gene Review: Gene Review: 22q11.2 Deletion Syndrome  - Genetic Testing Registry: Asymmetric crying face association  - Genetic Testing Registry: DiGeorge sequence  - Genetic Testing Registry: Opitz G/BBB syndrome  - Genetic Testing Registry: Shprintzen syndrome   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,False,8434.6,0.15555555555555556,0.16,4,4,0.5,0.0,0.0,0.0,0.25,1.0,False,True,False,False,0.17094017094017092,0.13675213675213674,0.0
What are the treatments for Blue rubber bleb nevus syndrome ?,general,"The provided context does not contain enough information to answer this question reliably. It mentions that treatment for blue rubber bleb nevus syndrome is tailored to the individual depending on the location and symptoms caused by the affected areas, but it does not specify what those treatments might be.

Please consult a qualified healthcare professional before making any clinical decisions.","How might blue rubber bleb nevus syndrome be treated? Treatment of blue rubber bleb nevus syndrome varies depending on the severity and location of the affected areas. Skin spots do not usually require treatment, but some individuals with this condition may want treatment for cosmetic reasons or if the location of the nevus causes discomfort or affects normal function. Bleeding in the intestines may be treated with iron supplements and blood transfusions when necessary. Surgery to remove an affected area of bowel may be recommended for repeated or severe bleeding (hemorrhage).",False,7421.4,0.27692307692307694,0.24,4,4,0.6,0.0,0.249999999975,0.6,0.0,1.0,False,True,False,False,0.34437086092715236,0.2119205298013245,0.0
What are the treatments for Gestational Trophoblastic Disease ?,general,"The provided context does not contain specific information about the treatments for Gestational Trophoblastic Disease (GTD). It mentions that the treatment of gestational trophoblastic neoplasia (GTN), a type of GTD, is based on the type of disease, stage, or risk group, but does not detail the treatment options themselves.

Please consult a qualified healthcare professional before making any clinical decisions.","Key Points
                    -  There are different types of treatment for patients with gestational trophoblastic disease.    - Three types of standard treatment are used:         - Surgery     - Chemotherapy      - Radiation therapy         - New types of treatment are being tested in clinical trials.     - Patients may want to think about taking part in a clinical trial.    - Patients can enter clinical trials before, during, or after starting their cancer treatment.    - Follow-up tests may be needed.
                
                
                    There are different types of treatment for patients with gestational trophoblastic disease.
                    Different types of treatment are available for patients with gestational trophoblastic disease. Some treatments are standard (the currently used treatment), and some are being tested in clinical trials. Before starting treatment, patients may want to think about taking part in a clinical trial. A treatment clinical trial is a research study meant to help improve current treatments or obtain information on new treatments for patients with cancer. When clinical trials show that a new treatment is better than the standard treatment, the new treatment may become the standard treatment.   Clinical trials are taking place in many parts of the country. Information about ongoing clinical trials is available from the NCI website. Choosing the most appropriate cancer treatment is a decision that ideally involves the patient, family, and health care team.
                
                
                    Three types of standard treatment are used:
                    Surgery    The doctor may remove the cancer using one of the following operations:            -  Dilatation and curettage (D&C) with suction evacuation: A surgical procedure to remove abnormal tissue and parts of the inner lining of the uterus. The cervix is dilated and the material inside the uterus is removed with a small vacuum-like device. The walls of the uterus are then gently scraped with a curette (spoon-shaped instrument) to remove any material that may remain in the uterus. This procedure may be used for molar pregnancies.     -  Hysterectomy: Surgery to remove the uterus, and sometimes the cervix. If the uterus and cervix are taken out through the vagina, the operation is called a vaginal hysterectomy. If the uterus and cervix are taken out through a large incision (cut) in the abdomen, the operation is called a total abdominal hysterectomy. If the uterus and cervix are taken out through a small incision (cut) in the abdomen using a laparoscope, the operation is called a total laparoscopic hysterectomy.              Chemotherapy      Chemotherapy is a cancer treatment that uses drugs to stop the growth of cancer cells, either by killing the cells or by stopping them from dividing. When chemotherapy is taken by mouth or injected into a vein or muscle, the drugs enter the bloodstream and can reach cancer cells throughout the body (systemic chemotherapy). When chemotherapy is placed directly into the cerebrospinal fluid, an organ, or a body cavity such as the abdomen, the drugs mainly affect cancer cells in those areas (regional chemotherapy). The way the chemotherapy is given depends on the type and stage of the cancer being treated, or whether the tumor is low-risk or high-risk.     Combination chemotherapy is treatment using more than one anticancer drug.    Even if the doctor removes all the cancer that can be seen at the time of the surgery, some patients may be given chemotherapy after surgery to kill any tumor cells that are left. Treatment given after the surgery, to lower the risk that the cancer will come back, is called adjuvant therapy.    See Drugs Approved for Gestational Trophoblastic Disease for more information.       Radiation therapy      Radiation therapy is a cancer treatment that uses high-energy x-rays or other types of radiation to kill cancer cells or keep them from growing. There are two types of radiation therapy:            -  External radiation therapy uses a machine outside the body to send radiation toward the cancer.     -  Internal radiation therapy uses a radioactive substance sealed in needles, seeds, wires, or catheters that are placed directly into or near the cancer.           The way the radiation therapy is given depends on the type of gestational trophoblastic disease being treated. External radiation therapy is used to treat gestational trophoblastic disease.
                
                
                    New types of treatment are being tested in clinical trials.
                    Information about ongoing clinical trials is available from the NCI website.
                
                
                    Patients may want to think about taking part in a clinical trial.
                    For some patients, taking part in a clinical trial may be the best treatment choice. Clinical trials are part of the cancer research process. Clinical trials are done to find out if new cancer treatments are safe and effective or better than the standard treatment.   Many of today's standard treatments for cancer are based on earlier clinical trials. Patients who take part in a clinical trial may receive the standard treatment or be among the first to receive a new treatment.   Patients who take part in clinical trials also help improve the way cancer will be treated in the future. Even when clinical trials do not lead to effective new treatments, they often answer important questions and help move research forward.
                
                
                    Patients can enter clinical trials before, during, or after starting their cancer treatment.
                    Some clinical trials only include patients who have not yet received treatment. Other trials test treatments for patients whose cancer has not gotten better. There are also clinical trials that test new ways to stop cancer from recurring (coming back) or reduce the side effects of cancer treatment.   Clinical trials are taking place in many parts of the country. See the Treatment Options section that follows for links to current treatment clinical trials. These have been retrieved from NCI's listing of clinical trials.
                
                
                    Follow-up tests may be needed.
                    Some of the tests that were done to diagnose the cancer or to find out the stage of the cancer may be repeated. Some tests will be repeated in order to see how well the treatment is working. Decisions about whether to continue, change, or stop treatment may be based on the results of these tests.   Some of the tests will continue to be done from time to time after treatment has ended. The results of these tests can show if your condition has changed or if the cancer has recurred (come back). These tests are sometimes called follow-up tests or check-ups.    Blood levels of beta human chorionic gonadotropin (-hCG) will be checked for up to 6 months after treatment has ended. This is because a -hCG level that is higher than normal may mean that the tumor has not responded to treatment or it has become cancer.
                
		        
		            Treatment Options for Gestational Trophoblastic Disease
		            
		                
		                    Hydatidiform Moles
		                    Treatment of a hydatidiform mole may include the following:         -  Surgery (Dilatation and curettage with suction evacuation) to remove the tumor.        After surgery, beta human chorionic gonadotropin (-hCG) blood tests are done every week until the -hCG level returns to normal. Patients also have follow-up doctor visits monthly for up to 6 months. If the level of -hCG does not return to normal or increases, it may mean the hydatidiform mole was not completely removed and it has become cancer. Pregnancy causes -hCG levels to increase, so your doctor will ask you not to become pregnant until follow-up is finished.   For disease that remains after surgery, treatment is usually chemotherapy.   Check the list of NCI-supported cancer clinical trials that are now accepting patients with hydatidiform mole. For more specific results, refine the search by using other search features, such as the location of the trial, the type of treatment, or the name of the drug. Talk with your doctor about clinical trials that may be right for you. General information about clinical trials is available from the NCI website.
		                
		                
		                    Gestational Trophoblastic Neoplasia
		                    Low-risk Gestational Trophoblastic Neoplasia    Treatment of low-risk gestational trophoblastic neoplasia (GTN) (invasive mole or choriocarcinoma) may include the following:            -  Chemotherapy with one or more anticancer drugs. Treatment is given until the beta human chorionic gonadotropin (-hCG) level is normal for at least 3 weeks after treatment ends.           If the level of -hCG in the blood does not return to normal or the tumor spreads to distant parts of the body, chemotherapy regimens used for high-risk metastatic GTN are given.    Check the list of NCI-supported cancer clinical trials that are now accepting patients with low risk metastatic gestational trophoblastic tumor. For more specific results, refine the search by using other search features, such as the location of the trial, the type of treatment, or the name of the drug. Talk with your doctor about clinical trials that may be right for you. General information about clinical trials is available from the NCI website.       High-risk Metastatic Gestational Trophoblastic Neoplasia    Treatment of high-risk metastatic gestational trophoblastic neoplasia (invasive mole or choriocarcinoma) may include the following:            -  Combination chemotherapy.     -  Intrathecal chemotherapy and radiation therapy to the brain (for cancer that has spread to the lung, to keep it from spreading to the brain).     -  High-dose chemotherapy or intrathecal chemotherapy and/or radiation therapy to the brain (for cancer that has spread to the brain).           Check the list of NCI-supported cancer clinical trials that are now accepting patients with high risk metastatic gestational trophoblastic tumor. For more specific results, refine the search by using other search features, such as the location of the trial, the type of treatment, or the name of the drug. Talk with your doctor about clinical trials that may be right for you. General information about clinical trials is available from the NCI website.       Placental-Site Gestational Trophoblastic Tumors and Epithelioid Trophoblastic Tumors    Treatment of stage I placental-site gestational trophoblastic tumors and epithelioid trophoblastic tumors may include the following:            -  Surgery to remove the uterus.           Treatment of stage II placental-site gestational trophoblastic tumors and epithelioid trophoblastic tumors may include the following:            - Surgery to remove the tumor, which may be followed by combination chemotherapy.           Treatment of stage III and IV placental-site gestational trophoblastic tumors and epithelioid trophoblastic tumors may include following:            - Combination chemotherapy.     - Surgery to remove cancer that has spread to other places, such as the lung or abdomen.           Check the list of NCI-supported cancer clinical trials that are now accepting patients with placental-site gestational trophoblastic tumor and epithelioid trophoblastic tumor. For more specific results, refine the search by using other search features, such as the location of the trial, the type of treatment, or the name of the drug. Talk with your doctor about clinical trials that may be right for you. General information about clinical trials is available from the NCI website.
		                
		                
		                    Recurrent or Resistant Gestational Trophoblastic Neoplasia
		                    Treatment of recurrent or resistant gestational trophoblastic tumor may include the following:         -  Chemotherapy with one or more anticancer drugs for tumors previously treated with surgery.    -  Combination chemotherapy for tumors previously treated with chemotherapy.    - Surgery for tumors that do not respond to chemotherapy.        Check the list of NCI-supported cancer clinical trials that are now accepting patients with recurrent gestational trophoblastic tumor. For more specific results, refine the search by using other search features, such as the location of the trial, the type of treatment, or the name of the drug. Talk with your doctor about clinical trials that may be right for you. General information about clinical trials is available from the NCI website.",False,7155.8,0.06040268456375839,0.16,4,4,0.5,0.0,0.999999999975,0.9,0.0,1.0,True,False,False,False,0.04585721730067743,0.03126628452318916,0.0
